BveTs Vehicle Performance Table 1.00,
#,
0,1.00
1,8.44
2,16.88
3,25.31
4,33.75
5,33.75
6,33.75
7,33.75
8,33.75
9,33.75
10,33.75
11,33.75
12,33.75
13,33.75
14,33.75
15,33.75
16,33.75
17,33.75
18,33.75
19,33.75
20,33.75
21,33.75
22,33.75
23,33.75
24,33.75
25,33.75
26,33.75
27,33.75
28,33.75
29,33.75
30,33.75
31,33.75
32,33.75
33,33.75
34,33.75
35,33.75
36,33.75
37,33.75
38,33.75
39,33.75
40,33.75
41,33.75
42,33.75
43,33.75
44,33.75
45,33.75
46,33.75
47,33.75
48,33.75
49,33.75
50,33.75
51,33.75
52,33.75
53,33.75
54,33.75
55,33.75
56,33.15
57,32.57
58,32.00
59,31.46
60,30.94
61,30.43
62,29.94
63,29.46
64,29.00
65,28.56
66,28.13
67,27.71
68,27.30
69,26.90
70,26.52
71,26.14
72,25.78
73,25.43
74,25.08
75,24.75
76,24.42
77,24.11
78,23.80
79,23.50
80,23.20
81,22.92
82,22.64
83,22.36
84,22.10
85,21.84
86,21.58
87,21.34
88,21.09
89,20.86
90,20.63
91,20.40
92,20.18
93,19.96
94,19.75
95,19.54
96,19.34
97,19.14
98,18.94
99,18.75
100,18.56
101,18.38
102,18.20
103,18.02
104,17.85
105,17.68
106,17.51
107,17.35
108,17.19
109,17.03
110,16.88
111,16.72
112,16.57
113,16.43
114,16.28
115,16.14
116,16.00
117,15.87
118,15.73
119,15.60
120,15.47
121,15.34
122,15.22
123,15.09
124,14.97
125,14.85
126,14.73
127,14.62
128,14.50
129,14.39
130,14.28
131,14.17
132,14.06
133,13.96
134,13.85
135,13.75
136,13.65
137,13.55
138,13.45
139,13.35
140,13.26
141,13.16
142,13.07
143,12.98
144,12.89
145,12.80
146,12.71
147,12.63
148,12.54
149,12.46
150,12.38
